Zeit_in_Sekunden,Note,Anschlagstärke
14.707,48,45
14.766,64,71
14.766,41,53
14.917,72,47
14.917,64,57
14.917,60,68
15.021,57,85
15.183,57,93
15.299,60,66
15.299,48,45
15.439,64,69
15.45,60,76
15.555,57,83
15.718,57,85
15.833,64,78
15.845,60,56
15.963,57,70
15.963,48,52
15.974,64,63
15.974,60,89
16.206,64,74
16.369,64,66
16.369,60,58
16.531,64,70
16.926,64,81
17.066,64,70
17.436,64,70
17.588,45,83
17.82,57,56
17.879,52,77
17.926,33,44
18.146,60,62
18.158,57,66
18.459,64,80
18.459,57,60
18.459,52,55
18.459,45,79
18.541,60,49
18.716,64,71
19.249,60,63
19.26,72,48
19.505,57,63
19.644,60,68
19.783,64,60
19.818,55,49
19.877,43,68
20.109,50,66
20.179,64,45
20.342,55,52
20.644,62,60
20.644,50,47
20.923,64,56
21.305,64,57
21.445,60,75
21.63,62,43
21.735,57,70
21.851,60,59
21.969,53,61
21.98,41,69
21.992,64,63
22.258,48,57
22.503,53,58
22.804,60,79
22.921,64,53
23.582,64,51
23.594,60,79
24.095,64,67
24.095,60,65
24.327,53,50
24.594,76,52
24.641,64,57
24.953,48,41
25.418,76,43
25.499,53,46
25.72,64,63
25.79,48,57
26.267,45,59
26.278,33,74
26.29,57,62
26.569,40,58
26.58,60,60
26.673,57,61
26.813,45,68
27.115,52,62
27.242,40,50
27.648,60,81
27.905,64,68
28.045,60,89
28.183,72,43
28.183,60,85
28.3,64,67
28.427,57,61
28.427,50,45
28.427,45,47
28.44,60,64
28.44,43,38
28.463,31,56
28.555,38,71
28.718,60,66
28.846,38,81
28.857,57,53
28.916,60,56
28.961,64,51
29.241,60,59
29.241,38,71
29.286,50,48
29.507,57,62
29.774,60,85
30.043,64,67
30.158,60,87
30.171,72,37
30.309,60,84
30.519,29,81
30.53,41,62
30.553,57,96
30.553,48,44
30.704,60,62
30.704,57,82
30.855,60,59
30.948,57,74
31.088,60,57
31.099,64,53
31.227,48,43
31.239,60,71
31.343,57,67
31.505,64,67
31.517,60,48
31.517,57,52
31.668,64,72
32.052,64,72
32.192,64,78
32.703,64,93
32.738,57,41
32.97,64,79
33.608,64,73
33.759,64,90
33.795,48,49
33.911,64,88
34.097,48,46
34.306,64,74
34.747,45,43
34.898,57,74
34.898,45,90
35.166,52,63
35.189,45,73
35.211,60,64
35.234,33,47
35.328,57,53
35.479,64,66
35.479,52,52
35.525,45,84
35.746,64,83
35.757,45,81
35.758,60,49
35.875,64,66
36.293,60,81
36.304,72,47
36.548,62,72
36.559,64,80
36.559,45,68
36.688,60,73
36.769,64,54
36.839,72,51
36.839,60,69
36.943,64,54
37.071,57,69
37.105,43,74
37.233,60,84
37.373,60,63
37.384,50,59
37.5,57,61
37.617,64,48
37.628,43,44
37.674,55,50
37.884,60,64
37.92,62,51
38.164,57,66
38.256,60,64
38.419,60,87
38.685,64,74
38.814,60,87
38.953,60,75
39.08,64,74
39.173,41,78
39.197,57,91
39.22,64,44
39.231,53,46
39.335,41,87
39.359,60,57
39.51,60,66
39.522,48,47
39.603,57,67
39.755,64,57
39.755,60,48
39.755,41,65
39.767,53,56
39.906,60,67
40.057,60,63
40.08,48,39
40.103,64,58
40.312,64,74
41.009,53,42
41.357,64,93
41.38,48,54
41.73,64,78
42.252,64,78
42.264,53,48
42.45,64,84
42.96,64,86
43.123,64,82
43.158,41,49
43.402,64,77
43.542,33,78
43.553,64,75
43.553,52,49
43.553,45,56
43.764,64,64
43.821,40,54
43.832,60,69
43.926,64,75
44.1,64,71
44.1,45,58
44.227,60,66
44.39,52,73
44.402,64,41
44.622,64,52
44.646,60,45
44.89,52,52
44.89,45,52
44.901,67,62
45.005,64,55
45.168,64,65
45.574,64,70
45.703,64,56
45.703,31,65
45.726,50,40
45.726,43,52
46.028,69,58
46.04,50,56
46.051,38,63
46.121,64,59
46.295,64,81
46.411,50,40
46.47,64,52
46.585,69,41
46.585,50,53
46.597,38,65
46.678,64,72
46.829,64,66
47.097,67,59
47.224,64,67
47.364,64,80
47.491,67,61
47.596,64,62
47.876,64,61
47.922,41,66
47.933,48,52
47.957,29,56
48.177,48,55
48.189,60,52
48.201,36,57
48.282,64,57
48.456,64,57
48.479,41,67
48.734,48,60
48.944,64,75
49.21,41,54
49.28,60,71
49.478,60,74
49.49,48,51
49.501,64,49
49.665,60,74
49.734,48,61
49.757,64,43
49.874,60,61
49.874,48,61
50.036,64,82
50.036,60,61
50.048,48,49
50.28,48,39
50.35,60,71
50.431,64,65
50.686,48,45
50.745,60,60
50.837,64,46
51.104,60,42
51.14,64,60
51.372,60,60
51.65,60,61
51.65,41,42
51.906,41,42
52.034,60,69
52.208,64,53
52.208,52,74
52.208,45,82
52.22,57,57
52.255,33,59
52.754,60,69
53.021,57,80
53.033,64,58
53.033,45,78
53.16,60,45
53.289,64,61
53.416,57,69
53.544,45,73
53.555,60,94
53.555,57,75
53.812,60,97
54.079,62,65
54.091,60,56
54.091,57,70
54.091,45,46
54.311,45,46
54.357,64,59
54.404,55,44
54.404,50,52
54.416,43,65
54.462,31,60
54.741,64,57
54.88,60,74
55.449,64,71
55.741,62,61
55.752,67,39
55.752,55,61
55.764,43,50
55.973,60,89
56.286,55,60
56.298,60,89
56.53,64,79
56.576,60,61
56.576,48,81
56.589,53,54
56.6,41,71
56.925,64,61
57.11,60,60
57.122,48,57
57.378,57,59
57.447,64,45
57.528,60,59
57.634,64,70
57.774,57,62
57.912,57,74
58.018,64,54
58.157,60,90
58.401,57,64
58.551,60,71
58.702,64,76
58.807,57,60
59.097,64,63
59.214,60,110
59.214,48,34
59.598,60,97
59.598,48,55
59.668,41,38
59.749,64,62
59.806,60,94
59.981,60,80
60.144,64,50
60.295,60,98
60.48,60,79
60.84,45,81
61.119,52,78
61.13,57,59
61.397,60,60
61.397,57,54
61.689,64,85
61.712,57,57
61.712,45,70
61.932,64,66
62.187,57,54
62.467,60,72
62.49,62,80
62.582,57,57
62.745,57,64
62.873,60,55
62.977,43,69
63.001,64,72
63.058,55,49
63.14,43,69
63.337,50,51
63.43,64,64
63.547,60,72
63.594,43,52
63.605,55,54
63.861,62,61
63.861,55,43
63.861,50,40
64.105,64,74
64.372,64,71
64.511,64,63
64.616,60,92
65.01,60,68
65.092,41,71
65.184,64,81
65.184,53,49
65.254,41,88
65.464,48,48
65.604,64,62
65.72,53,68
65.731,60,61
65.744,41,61
66.01,60,78
66.022,57,45
66.022,53,54
66.126,64,45
66.289,64,68
66.394,57,52
66.568,57,69
66.66,64,48
66.811,60,90
66.846,53,43
67.055,57,61
67.206,60,76
67.357,64,62
67.461,57,62
67.857,60,108
67.962,41,64
68.252,60,79
68.439,48,47
68.45,53,42
68.995,64,51
69.03,53,48
69.495,45,85
69.506,64,72
69.786,60,74
69.856,52,72
69.856,33,46
69.879,64,85
70.053,64,79
70.053,52,49
70.053,45,83
70.181,72,46
70.181,60,53
70.344,64,81
70.564,64,83
70.576,60,59
70.854,67,51
70.947,64,73
70.947,45,77
71.133,64,67
71.133,62,80
71.504,64,65
71.645,64,68
71.68,55,55
71.692,43,63
71.947,50,57
71.958,69,45
72.04,64,66
72.225,64,81
72.249,55,50
72.411,64,60
72.516,62,54
72.516,50,46
72.632,64,78
72.771,64,72
73.026,67,64
73.107,43,42
73.294,64,70
73.421,67,49
73.678,64,77
73.818,64,61
73.818,53,52
73.852,41,65
74.119,60,49
74.131,48,63
74.362,53,71
74.409,64,61
74.514,60,60
74.653,60,78
74.653,53,54
74.665,48,49
74.897,64,83
75.199,60,80
75.28,64,72
75.454,53,47
75.491,76,57
75.595,60,65
75.687,64,67
75.967,64,85
76.361,64,84
76.407,48,46
76.524,76,45
76.524,64,85
77.034,64,82
77.547,64,89
77.64,41,44
77.942,64,71
78.046,33,52
78.127,64,46
78.127,45,52
78.139,52,44
78.208,33,83
78.359,40,51
78.418,60,64
78.522,64,54
78.684,45,59
78.696,64,46
78.824,60,55
78.975,52,63
79.009,40,60
79.207,64,41
79.462,45,55
79.592,64,45
80.125,64,45
80.323,50,46
80.323,43,54
80.323,31,65
80.601,50,47
80.612,38,66
80.88,64,59
80.88,43,38
81.17,50,59
81.194,38,68
81.275,64,37
81.426,64,50
81.671,67,63
81.799,64,39
81.937,64,63
82.1,67,49
82.321,64,43
82.472,64,57
82.495,29,51
82.519,48,52
82.519,41,61
82.774,60,44
82.785,48,53
82.797,36,54
82.878,64,38
83.029,41,53
83.32,48,68
83.331,60,44
83.542,64,68
83.553,60,59
83.553,48,58
83.634,36,59
83.646,29,63
83.843,60,67
84.052,64,67
84.237,60,56
84.598,64,69
85.062,48,50
85.167,64,75
85.644,60,45
85.679,64,71
86.143,48,49
86.19,64,85
86.224,29,48
86.584,64,70
86.677,33,44
86.758,52,48
86.77,45,63
86.851,33,78
87.037,40,55
87.072,60,60
87.153,64,45
87.327,45,55
87.339,64,53
87.456,60,60
87.584,40,51
87.596,52,67
87.607,64,48
87.619,60,61
87.84,64,57
87.932,60,39
88.095,45,48
88.223,64,41
88.385,64,50
88.536,67,36
88.582,64,51
88.792,64,70
88.943,64,47
88.943,31,63
88.954,43,52
89.256,50,42
89.268,38,63
89.349,64,46
89.501,64,71
89.512,43,44
89.686,64,48
89.779,38,58
89.792,50,57
89.815,69,39
89.884,64,64
90.047,64,65
90.325,67,57
90.442,64,57
90.604,64,74
90.859,67,67
91.092,64,74
91.161,41,65
91.161,29,52
91.289,36,48
91.383,48,56
91.418,60,50
91.442,36,62
91.499,64,79
91.639,64,67
91.673,41,61
91.767,60,51
91.964,60,49
91.964,48,52
92.01,36,53
92.161,64,81
92.451,67,60
92.556,64,70
92.73,64,71
92.974,67,47
93.101,64,86
93.264,64,80
93.579,69,52
93.636,64,73
93.834,64,82
93.961,69,68
94.112,69,52
94.194,64,86
94.368,64,92
94.392,69,61
94.543,64,70
94.554,29,54
94.635,67,55
94.762,64,77
94.925,64,72
95.193,67,56
95.403,64,50
95.415,52,39
95.415,45,60
95.484,33,80
95.717,60,53
95.728,40,52
95.96,64,48
95.972,45,53
96.018,40,56
96.087,60,39
96.25,52,70
96.261,60,55
96.424,64,51
96.761,40,59
96.773,52,53
96.773,33,90
97.04,64,51
97.121,60,45
97.168,67,54
97.412,64,60
97.564,64,61
97.598,31,66
97.61,50,43
97.61,43,49
97.703,38,38
97.737,64,48
97.866,60,67
97.877,38,74
97.958,64,65
98.109,64,66
98.155,43,49
98.272,64,48
98.272,60,55
98.434,38,68
98.446,50,54
98.48,43,43
98.516,64,61
98.655,64,58
98.933,67,52
99.05,64,53
99.2,64,57
99.328,86,39
99.328,67,42
99.469,67,61
99.759,48,50
99.782,29,61
99.794,57,55
99.794,41,60
100.049,36,61
100.13,57,53
100.34,41,59
100.606,60,51
100.606,48,51
100.665,36,52
100.944,60,42
101.292,57,44
101.316,41,38
101.746,60,49
101.954,64,66
101.967,57,65
102.268,64,71
102.361,41,75
102.373,57,69
102.43,48,46
102.5,64,63
102.849,53,55
102.86,60,63
102.86,48,77
102.942,64,76
103.185,64,62
103.231,53,58
103.244,60,50
103.5,60,57
103.5,53,62
103.5,48,78
103.64,60,54
103.779,60,54
103.779,48,78
103.825,41,71
104.057,64,57
104.057,52,76
104.057,45,79
104.069,57,53
104.197,60,39
104.208,33,51
104.592,60,49
104.626,48,83
104.881,57,55
105.137,64,55
105.287,48,52
105.405,62,77
105.417,57,51
105.417,45,69
105.509,60,49
105.673,60,62
105.673,48,46
105.962,69,43
105.962,62,70
105.962,57,60
106.079,60,60
106.172,64,63
106.265,62,50
106.265,52,67
106.276,50,56
106.276,43,57
106.287,60,45
106.404,55,42
106.474,52,77
106.636,64,59
106.648,52,87
106.775,60,79
107.112,52,93
107.17,64,75
107.181,60,56
107.334,64,69
107.334,52,83
107.473,52,88
107.612,62,63
107.612,55,62
107.612,52,80
107.612,43,42
107.705,64,59
107.833,60,70
107.856,52,63
108.332,48,68
108.414,60,54
108.425,64,46
108.425,53,57
108.518,48,81
108.518,41,68
108.553,29,48
108.959,60,49
108.971,48,78
109.483,64,63
109.61,53,42
109.901,64,61
110.041,60,51
110.041,48,64
110.26,57,66
110.54,64,78
110.795,60,63
111.05,64,53
111.108,60,71
111.319,64,56
111.33,41,49
111.493,60,63
111.609,64,97
111.829,64,92
112.108,64,67
112.143,60,94
112.364,60,83
112.526,60,74
112.711,64,50
112.711,57,47
112.711,52,74
112.77,60,66
112.77,45,78
112.84,33,52
113.014,48,56
113.2,60,55
113.398,48,75
113.526,57,61
113.781,64,48
114.06,62,75
114.06,57,66
114.072,45,63
114.35,60,52
114.605,62,75
114.664,57,60
114.884,64,45
114.93,62,46
114.93,55,42
114.93,52,58
114.93,50,66
114.93,43,61
115.105,52,71
115.246,64,56
115.246,52,77
115.408,60,84
115.524,52,69
115.664,43,56
115.803,60,71
115.942,64,42
115.989,62,45
116.058,55,37
116.128,52,61
116.255,62,60
116.255,55,65
116.267,43,44
116.279,52,67
116.429,64,45
116.499,60,88
116.905,60,75
117.056,60,52
117.068,64,54
117.068,48,64
117.092,41,70
117.149,53,67
117.196,29,50
117.557,65,51
117.627,60,44
117.627,53,60
117.697,65,66
118.137,65,65
118.277,65,65
118.428,65,50
118.567,65,53
118.672,60,73
118.88,64,51
118.939,57,71
119.194,64,82
119.194,60,45
119.23,48,50
119.253,41,66
119.451,60,48
119.462,48,68
119.567,64,75
119.718,60,58
119.88,53,57
120.135,60,60
120.252,64,82
120.484,64,73
120.542,60,45
120.623,29,57
120.798,60,62
120.798,48,76
121.286,64,61
121.368,52,53
121.368,45,57
121.391,33,66
121.566,60,42
121.878,60,56
121.925,48,75
122.065,48,87
122.169,57,49
122.18,45,49
122.25,60,57
122.331,48,82
122.424,52,58
122.435,64,57
122.575,48,70
122.819,64,54
122.819,60,68
122.981,60,69
122.981,48,48
123.377,60,63
123.435,52,47
123.528,43,45
123.528,31,73
123.598,52,68
123.819,52,92
123.877,64,53
123.981,52,95
124.062,60,54
124.225,52,95
124.329,50,40
124.41,52,95
124.446,60,59
124.631,52,87
124.654,64,60
124.805,52,79
124.805,60,46
125.026,64,56
125.178,60,65
125.295,64,57
125.62,29,68
125.666,41,49
125.678,48,59
125.712,64,55
126.072,64,52
126.293,60,52
126.56,57,59
126.804,64,63
126.931,57,58
127.153,64,59
127.316,41,40
127.327,60,55
127.559,57,54
127.827,64,61
127.99,60,41
128.233,64,46
128.535,60,48
128.617,64,44
128.906,64,96
129.127,64,94
129.36,60,81
129.396,64,64
129.511,60,83
129.662,60,69
129.814,60,59
129.895,33,45
129.941,64,57
129.941,52,37
129.987,45,49
130.046,33,74
130.057,60,55
130.266,40,56
130.498,60,53
130.533,45,61
130.603,48,56
130.835,52,62
130.835,48,69
130.835,33,75
131.184,40,47
131.626,60,59
132.159,45,37
132.172,50,45
132.172,43,52
132.218,31,50
132.229,52,56
132.404,52,74
132.473,38,63
132.554,52,76
132.612,64,45
132.741,60,66
132.879,31,54
132.903,52,62
133.019,69,39
133.03,50,57
133.077,38,57
133.114,52,79
133.252,64,41
133.764,64,48
133.798,60,95
133.996,60,71
134.193,60,58
134.251,29,79
134.297,48,45
134.297,41,56
134.332,64,65
134.495,65,49
134.669,57,50
134.761,48,41
134.89,65,78
134.912,60,58
135.146,57,57
135.17,65,77
135.402,64,67
135.784,64,55
135.959,41,50
135.971,60,66
136.064,57,60
136.191,64,47
136.237,57,88
136.366,60,45
136.377,57,78
136.481,64,84
136.621,57,57
136.887,64,87
137.039,60,59
137.05,41,59
137.098,48,59
137.109,64,54
137.47,53,63
137.608,64,61
137.969,64,55
138.084,48,71
138.097,60,72
138.375,60,70
138.375,41,76
138.515,60,66
138.526,41,61
138.909,64,40
139.189,60,62
139.409,60,103
139.468,64,67
139.583,60,54
140.292,60,54
